Start_X,Start_Y,Goal_X,Goal_Y,Path_Length,Traversability_Cost
28,24,65,87,39,181.8830775088952
28,24,57,84,28,125.58803461977752
28,24,52,88,31,156.61945523744865
28,24,65,87,27,131.45256386866492
28,24,50,91,27,122.21542885061973
28,24,47,88,29,131.4122234910423
28,24,62,87,29,132.21562268678198
28,24,47,87,32,138.96069004322817
28,24,74,87,32,164.64110560572806
28,24,69,84,0,inf
28,24,46,92,0,inf
28,24,46,88,27,126.31651165347789
28,24,63,84,30,131.77982265931752
28,24,42,83,23,101.6811314892138
28,24,50,85,25,113.26191703838654
28,24,47,85,0,inf
28,24,74,85,34,153.9482242712939
28,24,63,88,29,128.72056189397813
28,24,46,86,0,inf
28,24,60,87,31,135.7688022322028
28,24,74,84,0,inf
28,24,62,83,31,137.50034284227345
28,24,67,84,30,137.42562559395816
28,24,44,89,28,131.3256268945224
28,24,55,84,34,156.1195684369501
28,24,91,66,28,128.3530994049494
28,24,95,63,37,183.9705652720758
28,24,88,66,30,128.50634499298718
28,24,95,59,30,139.96915489597956
28,24,85,65,0,inf
28,24,95,65,34,150.80898328481692
28,24,91,59,31,154.06074948203033
28,24,95,58,0,inf
28,24,64,39,20,87.14855938509767
28,24,59,39,17,78.5267606060275
28,24,63,40,0,inf
28,24,63,39,14,64.75500287699623
28,24,72,41,21,95.97844403245136
28,24,60,35,15,59.01924255520365
28,24,58,41,0,inf
28,24,55,37,0,inf
28,24,60,39,17,66.83743721500652
28,24,58,35,13,58.749407222645374
28,24,63,37,14,60.609413180994544
28,24,59,33,13,52.84355934030907
28,24,39,67,0,inf
28,24,39,60,15,65.19038550439616
28,24,41,63,0,inf
28,24,29,66,17,69.44748706852482
28,24,23,58,15,62.26080900649402
28,24,40,66,16,79.66467000989185
28,24,29,66,16,67.88440816664
28,24,34,63,17,72.36167677623577
28,24,34,61,15,62.94493535802706
28,24,42,64,16,69.08455583053183
28,24,30,60,14,61.24252061614799
28,24,42,62,19,85.26717709822118
28,24,23,59,14,63.3582130103225
28,24,64,48,19,84.47752970718695
28,24,50,48,13,60.37530190377029
28,24,45,49,18,75.2616195848709
28,24,59,48,17,84.80422044237618
28,24,55,49,25,107.18676818426296
28,24,47,54,19,78.94824895438417
28,24,58,48,0,inf
28,24,40,50,16,74.47968137199985
28,24,41,55,14,57.40239707049251
28,24,41,48,0,inf
28,24,40,53,12,50.41745141552102
28,24,47,48,13,59.01714211538861
28,24,43,56,15,58.52662626338329
28,24,43,48,15,65.11793346673565
28,24,61,50,24,107.82595253077677
28,24,39,51,13,57.568987627463976
28,24,33,48,14,64.55069427225105
28,24,91,56,0,inf
28,24,91,57,0,inf
28,24,91,52,29,133.025142897436
28,24,74,52,0,inf
28,24,67,49,22,100.36092027962451
28,24,94,48,0,inf
28,24,90,49,27,120.30262744909199
28,24,84,57,26,123.60167672814998
28,24,92,53,0,inf
28,24,85,56,0,inf
28,24,92,57,29,131.75246535631786
28,24,65,52,22,103.71586419607411
28,24,93,48,0,inf
28,24,64,48,16,74.56276775333929
28,24,91,51,28,128.39324164873676
28,24,69,48,23,101.30781493822184
28,24,81,50,24,109.95009305437584
41,24,65,87,27,123.68286996657946
41,24,57,84,27,124.57023489879143
41,24,52,88,0,inf
41,24,65,87,0,inf
41,24,50,91,0,inf
41,24,47,88,25,118.59214565694963
41,24,62,87,31,138.3626133084318
41,24,47,87,25,110.43166929034007
41,24,74,87,36,177.99176475365869
41,24,69,84,40,183.07665606996244
41,24,46,92,0,inf
41,24,46,88,0,inf
41,24,63,84,0,inf
41,24,42,83,27,114.60451013463934
41,24,50,85,26,119.08976189089854
41,24,47,85,28,144.10375159336496
41,24,74,85,36,161.71291749982873
41,24,63,88,0,inf
41,24,46,86,24,114.08150552710796
41,24,60,87,0,inf
41,24,74,84,0,inf
41,24,62,83,31,146.31863861177666
41,24,67,84,28,149.62153117374078
41,24,44,89,29,137.70533873403514
41,24,55,84,25,114.56392449990295
41,24,91,66,25,113.49564291582428
41,24,95,63,26,123.99698039804319
41,24,88,66,0,inf
41,24,95,59,0,inf
41,24,85,65,25,107.83380268698264
41,24,95,65,22,114.61320954728156
41,24,91,59,0,inf
41,24,95,58,22,104.6866602551537
41,24,64,39,13,54.93289989699774
41,24,59,39,10,42.33900107753297
41,24,63,40,12,48.31710215352085
41,24,63,39,11,48.864329789490135
41,24,72,41,15,65.76286312562547
41,24,60,35,11,43.56332548403586
41,24,58,41,10,40.98955260659405
41,24,55,37,0,inf
41,24,60,39,12,52.2369582152938
41,24,58,35,0,inf
41,24,63,37,10,42.00495358802808
41,24,59,33,9,34.93114337008939
41,24,39,67,26,116.24825691422947
