Start_X,Start_Y,Goal_X,Goal_Y,Path_Length,Traversability_Cost
25,25,36,76,18,118.84953984959469
25,25,38,73,15,101.32672793077624
25,25,37,72,15,96.58847531530462
25,25,33,78,17,114.12246177469385
25,25,38,75,18,120.59325014865598
25,25,36,70,16,105.25068514676627
25,25,37,70,16,107.99331700913275
25,25,36,80,19,129.6101745058303
25,25,40,79,17,114.69230747751568
25,25,37,77,16,108.24032618616366
25,25,34,76,15,101.22247146446364
25,25,34,79,16,104.0563407872713
25,25,38,77,16,104.72256200435108
25,25,37,51,8,45.3091249363135
25,25,31,53,9,57.21838600102148
25,25,34,54,9,54.28448199317892
25,25,31,53,9,57.3707328003388
25,25,38,53,11,66.9646144614124
25,25,35,54,10,59.985521284614805
25,25,35,50,8,47.322319836547315
25,25,34,50,8,42.404349066569765
25,25,31,50,8,44.17810369665584
25,25,31,54,8,49.6178582192846
25,25,36,50,7,42.5112687762476
25,25,39,50,10,61.0198094495
25,25,30,57,9,52.28942504185811
25,25,34,54,14,108.55042900858837
25,25,36,53,10,62.76587177809462
25,25,35,51,9,56.82358759220323
25,25,33,55,9,54.460936531208844
25,25,34,50,8,48.11588816166371
25,25,31,57,10,62.21803877401919
25,25,84,43,22,152.6949915905999
25,25,83,35,23,129.42099305066287
25,25,81,33,16,106.78218624981058
25,25,82,33,16,104.76270988306412
25,25,80,33,18,132.07783516007845
25,25,84,38,24,155.20899489564437
25,25,84,38,19,128.8639283875081
25,25,79,32,16,106.73688811174866
25,25,80,34,24,161.38389138399333
25,25,82,37,16,101.5897316670046
25,25,82,43,19,124.37686354946145
25,25,83,41,19,128.6334859189756
25,25,82,34,22,150.20713808979144
25,25,84,35,16,101.40755296823984
25,25,80,33,14,93.03989560611821
25,25,87,74,23,151.12080721934387
25,25,90,76,34,205.9495383739218
25,25,89,67,24,166.77674613904236
25,25,84,73,30,192.6783228317761
25,25,85,73,23,157.91223945550513
25,25,91,81,24,163.13550157812153
25,25,88,74,24,165.53085908691352
25,25,88,70,22,142.9483941711077
25,25,87,79,27,191.6837047792844
25,25,85,67,24,160.37811289046934
25,25,86,68,25,171.27386372185168
25,25,85,67,28,182.55603020080218
25,25,88,81,27,193.96526928759567
